task,method,round,seed_count,candidate_rollouts,accepted_rollouts,acceptance_rate_pct,rejected_rollouts,total_rejection_rate_pct,success_trials,total_trials,incremental_success_rate_pct,ci95,coverage_index_mean,action_smoothness_mean
Multi-step retrieval,Scene-Aug w/o structure,2,5,680,470,69.1,210,30.9,72,100,72,"[62.5,79.9]",0.533,0.607
Multi-step retrieval,Scene-Aug w/o structure,3,5,720,516,71.7,204,28.3,74,100,74,"[64.6,81.6]",0.579,0.591
Multi-step retrieval,Scene-Aug w/o structure,4,5,760,560,73.7,200,26.3,75,100,75,"[65.7,82.5]",0.601,0.592
Multi-step retrieval,Scene-Aug w/o structure,5,5,800,587,73.4,213,26.6,75,100,75,"[65.7,82.5]",0.601,0.585
Multi-step retrieval,Scene-Aug w/o structure,6,5,840,607,72.3,233,27.7,77,100,77,"[67.8,84.2]",0.635,0.577
Multi-step retrieval,Sparse-only,0,5,0,0,—,0,—,69,100,69,"[59.4,77.2]",0.292,0.656
Multi-step retrieval,Sparse-only,1,5,0,0,—,0,—,70,100,70,"[60.4,78.1]",0.297,0.641
Multi-step retrieval,Sparse-only,2,5,0,0,—,0,—,69,100,69,"[59.4,77.2]",0.296,0.624
Multi-step retrieval,Sparse-only,3,5,0,0,—,0,—,70,100,70,"[60.4,78.1]",0.316,0.62
Multi-step retrieval,Sparse-only,4,5,0,0,—,0,—,71,100,71,"[61.5,79.0]",0.284,0.622
Multi-step retrieval,Sparse-only,5,5,0,0,—,0,—,72,100,72,"[62.5,79.9]",0.296,0.617
Multi-step retrieval,Sparse-only,6,5,0,0,—,0,—,70,100,70,"[60.4,78.1]",0.298,0.617
all,Ours,0,5,1800,1411,78.4,389,21.6,224,300,74.7,"[69.5,79.3]",0.449,0.644
all,Ours,1,5,1920,1613,84.0,307,16.0,239,300,79.7,"[74.8,83.8]",0.583,0.578
all,Ours,2,5,2040,1796,88.0,244,12.0,249,300,83.0,"[78.3,86.8]",0.692,0.538
all,Ours,3,5,2160,1985,91.9,175,8.1,251,300,83.7,"[79.1,87.4]",0.738,0.518
all,Ours,4,5,2280,2125,93.2,155,6.8,256,300,85.3,"[80.9,88.9]",0.781,0.495
all,Ours,5,5,2400,2263,94.3,137,5.7,256,300,85.3,"[80.9,88.9]",0.814,0.494
all,Ours,6,5,2520,2390,94.8,130,5.2,259,300,86.3,"[82.0,89.8]",0.822,0.493
all,Random-Aug,0,5,1800,664,36.9,1136,63.1,221,300,73.7,"[68.4,78.3]",0.342,0.63
all,Random-Aug,1,5,1920,775,40.4,1145,59.6,222,300,74.0,"[68.8,78.6]",0.405,0.631
all,Random-Aug,2,5,2040,863,42.3,1177,57.7,220,300,73.3,"[68.1,78.0]",0.434,0.629
all,Random-Aug,3,5,2160,945,43.8,1215,56.2,219,300,73.0,"[67.7,77.7]",0.457,0.625
all,Random-Aug,4,5,2280,1026,45.0,1254,55.0,220,300,73.3,"[68.1,78.0]",0.482,0.629
all,Random-Aug,5,5,2400,1100,45.8,1300,54.2,219,300,73.0,"[67.7,77.7]",0.496,0.624
all,Random-Aug,6,5,2520,1202,47.7,1318,52.3,221,300,73.7,"[68.4,78.3]",0.492,0.613
all,Scene-Aug w/o structure,0,5,1800,1166,64.8,634,35.2,224,300,74.7,"[69.5,79.3]",0.383,0.64
all,Scene-Aug w/o structure,1,5,1920,1307,68.1,613,31.9,228,300,76.0,"[70.9,80.5]",0.471,0.616
all,Scene-Aug w/o structure,2,5,2040,1426,69.9,614,30.1,231,300,77.0,"[71.9,81.4]",0.522,0.6
all,Scene-Aug w/o structure,3,5,2160,1528,70.7,632,29.3,237,300,79.0,"[74.0,83.2]",0.578,0.587
all,Scene-Aug w/o structure,4,5,2280,1650,72.4,630,27.6,241,300,80.3,"[75.5,84.4]",0.602,0.589
all,Scene-Aug w/o structure,5,5,2400,1759,73.3,641,26.7,239,300,79.7,"[74.8,83.8]",0.615,0.583
all,Scene-Aug w/o structure,6,5,2520,1841,73.1,679,26.9,243,300,81.0,"[76.2,85.0]",0.633,0.578
all,Sparse-only,0,5,0,0,—,0,—,223,300,74.3,"[69.1,78.9]",0.301,0.647
all,Sparse-only,1,5,0,0,—,0,—,223,300,74.3,"[69.1,78.9]",0.302,0.637
all,Sparse-only,2,5,0,0,—,0,—,222,300,74.0,"[68.8,78.6]",0.297,0.622
all,Sparse-only,3,5,0,0,—,0,—,227,300,75.7,"[70.5,80.2]",0.302,0.624
all,Sparse-only,4,5,0,0,—,0,—,227,300,75.7,"[70.5,80.2]",0.291,0.623
all,Sparse-only,5,5,0,0,—,0,—,228,300,76.0,"[70.9,80.5]",0.296,0.621
all,Sparse-only,6,5,0,0,—,0,—,226,300,75.3,"[70.2,79.9]",0.302,0.617
